product_id,type,category,legend_name,theme_group_name,short_name, file_name,path,prefix,wtw_file_name,datatype,legend_type,legend_color,legend_label,values,unit,provenance,visible,hidden,downloadable,external,active
,include,protected,CPCAD + NCC FS/CA,,CPCAD,CPCAD_2025_NCCFSCA_20260428.tif,includes,I_NAT_,I_NAT_CPCAD_2025_NCCFSCA_20260428.tif,INT1U,manual,"#00000000, #7fbc41","not included, included","0, 1",km2,national,TRUE,FALSE,TRUE,TRUE,TRUE
,theme,species,ECCC SAR Critical Habitat,ECCC SAR Critical Habitat,ECCC_CH,eccc_ch.rds,themes/species/eccc_ch,,,INT2U,continuous,Purples,"Non Habitat, Habitat",,ha,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,ECCC SAR Range Map Extents,ECCC SAR Range Map Extents,ECCC_SAR,eccc_sar.rds,themes/species/eccc_sar,,,INT2U,continuous,Reds,"Non Range, Range",,ha,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Amphibians,IUCN AOH Amphibians,IUCN_AMPH,iucn_amph.rds,themes/species/iucn_amph,T_NAT_IUCN_AMPH_,,INT2U,manual,"#00000000, #a6cee3","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Birds (Resident),IUCN AOH Birds (Resident),IUCN_BIRD_S1,iucn_bird_s1.rds,themes/species/iucn_bird,T_NAT_IUCN_BIRD_,,INT1U,manual,"#00000000, #ff7f00","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Birds (Breeding),IUCN AOH Birds (Breeding),IUCN_BIRD_S2,iucn_bird_s2.rds,themes/species/iucn_bird,T_NAT_IUCN_BIRD_,,INT1U,manual,"#00000000, #ff7f00","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Birds (Non-Breeding),IUCN AOH Birds (Non-Breeding),IUCN_BIRD_S3,iucn_bird_s3.rds,themes/species/iucn_bird,T_NAT_IUCN_BIRD_,,INT1U,manual,"#00000000, #ff7f00","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Mammals,IUCN AOH Mammals,IUCN_MAMM,iucn_mamm.rds,themes/species/iucn_mamm,T_NAT_IUCN_MAMM_,,INT1U,manual,"#00000000, #b15928","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,IUCN AOH Reptiles,IUCN AOH Reptiles,IUCN_REPT,iucn_rept.rds,themes/species/iucn_rept,T_NAT_IUCN_REPT_,,INT1U,manual,"#00000000, #b2df8a","Non Habitat, Habitat","0, 1",km2,national,FALSE,FALSE,TRUE,TRUE,TRUE
,theme,species,NCC SAR AOH,NCC SAR AOH,NCC_SAR_AOH,ncc_sar_aoh.rds,themes/species/ncc_sar_aoh,T_NAT_NCC_SAR_AOH_,,INT2U,continuous,Reds,"Non Habitat, Habitat",,ha,national,FALSE,FALSE,TRUE,TRUE,FALSE
